,country,weapon,date,text
219,Government of Thailand , RGM-84L Harpoon Block II Surface Launched Missiles," Aug. 10, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Thailand for RGM-84L Harpoon…
220,Australia , ALE-70 Radio Frequency Countermeasures (RFCM)," Aug. 3, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Australia for ALE-70 Radio…
221,Government of Nigeria ," A-29 Super Tucano Aircraft, Weapons, and Associated Support"," Aug. 3, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Nigeria of twelve (12) A-29…
222,Republic of Iraq , Follow-On Technical Support (FOTS) for U.S. Origin Navy Vessels and a Ship Repair Facility," Aug. 1, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Iraq for Follow-On Technical…
223,Government of Switzerland , F/A-18 Upgrades," Jul. 28, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Switzerland for F/A-18…
224,Australia , Upgrades for F/A-18E/F Super Hornet Aircraft," Jul. 11, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for upgrades for F/A-18E/F Super…
225,Government of the Netherlands , AGM-114R Hellfire Missiles," Jul. 11, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of the Netherlands for AGM-114R…
226,Romania , Patriot Air Defense System and Related Support and Equipment," Jul. 11, 2017 ","The State Department has made a determination approving a possible Foreign Military Sale to Romania for Patriot air defense systems,…"
227,Australia , 120mm Tank Ammunition and Related Support Services," Jul. 11, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for 120mm tank ammunition and…
228,United Kingdom , Joint Light Tactical Vehicles (JLTV) and Accessories," Jul. 10, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom for Joint Light Tactical…
229,Government of the Netherlands , AN/AAR-57A(V)7 Common Missile Warning System (CMWS)," Jul. 10, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of the Netherlands for AN/AAR-…
230,Taipei Economic and Cultural Representative Office (TECRO) in the United States , AN/SLQ-32(V23 Upgrade," Jun. 29, 2017 ","['WASHINGTON, Jun. 29, 2017 -The State Department has made a determination approving a possible\xa0Foreign Military Sale to Taipei Economic and Cultural…']"
231,Taipei Economic and Cultural Representative Office (TECRO) in the United States , AGM-154C Joint Standoff Weapon (JSOW) Missiles," Jun. 29, 2017 ","['WASHINGTON, Jun. 29, 2017 -The State Department has made a determination approving a possible\xa0Foreign Military Sale to Taipei Economic and Cultural…']"
232,Taipei Economic and Cultural Representative Office (TECRO) in the United States ,MK 54 Lightweight Torpedo (LWT) Conversion Kits," Jun. 29, 2017 ","['WASHINGTON, Jun. 29, 2017 -The State Department has made a determination approving a possible\xa0Foreign Military Sale to Taipei Economic and Cultural…']"
233,Taipei Economic and Cultural Representative Office (TECRO) in the United States , MK 48 Mod 6AT Heavyweight Torpedo (HWT)," Jun. 29, 2017 ","['WASHINGTON, Jun. 29, 2017 -The State Department has made a determination approving a possible\xa0Foreign Military Sale to Taipei Economic and Cultural…']"
234,Taipei Economic and Cultural Representative Office (TECRO) in the United States , SM-2 Block IIIA Standard Missiles and Components," Jun. 29, 2017 ","['WASHINGTON, Jun. 29, 2017 -The State Department has made a determination approving a possible\xa0Foreign Military Sale to Taipei Economic and Cultural…']"
235,Taipei Economic and Cultural Representative Office (TECRO) in the United States , AGM-88B High-Speed Anti-Radiation Missiles (HARM)," Jun. 29, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Taipei Economic and Cultural…
236,Taipei Economic and Cultural Representative Office (TECRO) in the United States , Surveillance Radar Program (SRP) Operation and Maintenance Support,"WASHINGTON, Jun.","['WASHINGTON, Jun.']"
237,Government of India , C-17 Transport Aircraft," Jun. 26, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of India for C-17 transport…
238,Australia ," Gulfstream G550 Aircraft with Airborne Intelligence, Surveillance, Reconnaissance, and Electronic Warfare (AISREW) Mission Systems"," Jun. 26, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for Gulfstream G550 Aircraft with…
239,Kingdom of Saudi Arabia , AN/TPQ-53(V) Radar Systems and Related Support," Jun. 5, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for AN/TPQ-53(V)…
240,Saudi Arabia , Blanket Order Training," Jun. 5, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for a blanket order…
241,Kingdom of Saudi Arabia , Navy Blanket Order Training," May 23, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for a Navy blanket…
242,Government of the United Arab Emirates (UAE) , Patriot PAC-3 and GEM-T Missiles," May 11, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of the United Arab Emirates (UAE…
243,Government of India , CBRN Support Equipment," May 11, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of India for CBRN support…
244,Kenya , MD 530 Aircraft," May 2, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Kenya for MD 530 aircraft. The estimated cost is…
245,Government of Australia, Anti-Radiation Missiles," Apr. 28, 2017 ","The State Department has made a determination approving a possible Foreign
Military Sale to the Government of Australia for Anti-…"
246,New Zealand , P-8A Aircraft and Associated Support," Apr. 28, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to New Zealand for P-8A aircraft and associated…
247,Government of Slovakia , Bell 429 Light Utility Helicopters," Apr. 28, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Slovakia for Bell 429 light…
248,Government of Greece, CH-47D Helicopters," Apr. 28, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Greece for CH-47D…
249,NATO Support and Procurement Agency (NSPA) , Continuation of C-17 Logistics Support Services and Equipment," Apr. 28, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the NATO Support and Procurement Agency (NSPA…
250,NATO Support and Procurement Agency (NSPA) , Large Aircraft Infrared Countermeasures (LAIRCM) System Components," Apr. 28, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the NATO Support and Procurement Agency (NSPA…
251,Israel , 76mm Naval Gun and Technical Support," Apr. 28, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Israel for 76mm Naval Gun and Technical…
252,Government of Canada , Sustainment Support for C-17 Aircraft," Apr. 20, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Canada for sustainment…
253,Government of Iraq , Equipment for Two Peshmerga Infantry Brigades and Two Support Artillery Battalions," Apr. 19, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Iraq for equipment for two…
254,Republic of Iraq ," Pilot and Maintenance Training, Contractor Logistical Support (CLS) for Trainer Aircraft, and Base Support"," Apr. 12, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Iraq for pilot and maintenance…
255,Government of Kuwait , Facilities and Infrastructure Construction Support Service," Apr. 6, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Kuwait for facilities and…
256,United Kingdom , Hellfire Missiles," Mar. 16, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom for Hellfire missiles. The…
257,Government of Singapore , XM395 Accelerated Precision Mortar Initiative (APMI) Rounds," Mar. 14, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Singapore for XM395…
258,Republic of Korea , AIM-9X-2 Sidewinder Missiles," Feb. 1, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea for AIM-9X-2 Sidewinder…
259,Republic of Korea , AGM-65G-2 Maverick Missiles," Feb. 1, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea for AGM-65G-2 Maverick…
260,Government of Kuwait , Sustainment and Contractor Logistics Support for AH-64D Apache Helicopters," Jan. 23, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Kuwait for sustainment…
261,Kingdom of Saudi Arabia , 74K Persistent Threat Detection System (PTDS) Aerostats," Jan. 23, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for 74K Persistent…
262,United Kingdom , Continuation of C-17 Logistics Support Services and Equipment," Jan. 23, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom of continued C-17 logistics…
263,Kuwait , AIM-120C-7 Advanced Medium Range Air-to-Air Missiles (AMRAAM)," Jan. 23, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to Kuwait for AIM-120C-7 Advanced Medium Range…
264,Government of Kenya , Air Tractor Aircraft with Weapons and Related Support," Jan. 23, 2017 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Kenya for Air Tractor…
265,Kuwait , Joint Direct Attack Munition (JDAM) Tail Kits," Dec. 23, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Kuwait for Joint Direct…
266,Norway , P-8A Aircraft and Associated Support," Dec. 21, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Norway for P-8A Aircraft and…
267,The Philippines , AN/SPS-77 Sea Giraffe 3D Air Search Radars," Dec. 14, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of the Philippines for AN/SPS-…
268,Government of Kuwait , Recapitalization of 218 M1A2 Tanks and Related Equipment and Support," Dec. 13, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Kuwait for recapitalization…
269,Qatar , Continuation of Logistics Support Services and Equipment," Dec. 8, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Qatar for continuation of logistics support…
270,Qatar , Spare C-17 Engines and Equipment," Dec. 8, 2016 ","The State Department has made a determination approving a possible Foreign Military Sale to Qatar for spare C-17 engines, equipment, and…"
271,Qatar , Continuation of Logistics Support Services and Equipment," Dec. 8, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Qatar for continuation of logistics support…
272,Kingdom of Saudi Arabia , CH-47F Chinook Cargo Helicopters," Dec. 8, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for CH-47F Chinook…
273,Government of Morocco ," TOW 2A, Radio Frequency (RF) Missiles (BGM-71-4B-RF) and Support"," Dec. 8, 2016 ","The State Department has made a determination approving a possible Foreign Military Sale to the Government of Morocco for TOW 2A, Radio…"
274,Government of Peru , Reconditioned Stryker Infantry Carrier Vehicles," Dec. 5, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Peru for Reconditioned Stryker Infantry Carrier…
275,Government of Finland , F/A-18 Mid-Life Upgrade Program," Dec. 5, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Finland for F/A-18 Mid-Life Upgrade Program and…
276,Government of Australia , AEA-18G Electronic Warfare Range System," Dec. 5, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for AEA-18G Electronic Warfare Range…
277,Poland , JASSM-ER with Support," Nov. 28, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Poland for Joint Air-to-Surface Standoff…
278,Government of Qatar , F-15QA Aircraft with Weapons and Related Support," Nov. 17, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Qatar for F-15QA aircraft…
279,The Government of Kuwait , F/A-18E/F Super Hornet Aircraft with Support," Nov. 17, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Kuwait for F/A-18E/F Super…
280,United Kingdom , Certifiable Predator B Remotely Piloted Aircraft," Nov. 16, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom for Certifiable Predator B…
281,Republic of Korea , Large Aircraft Infrared Countermeasures (LAIRCM) System," Nov. 16, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea for Large Aircraft…
282,United Arab Emirates (UAE) , Exercise Participation Support," Oct. 24, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates for exercise…
283,The Government of Kuwait,Radar Field System ," Oct. 13, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Kuwait for radar field systems and related…
284,Government of Egypt ," Common Missile Warning System (CMWS) for AH-64E Apache, UH-60 Blackhawks, and CH-47 Chinook Helicopters"," Oct. 7, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Egypt for Common Missile Warning System (CMWS)…
285,Republic of Iraq , AC-208 Aircraft," Oct. 7, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Iraq for AC-208 aircraft and related equipment…
286,Government of Japan , KC-46A Aerial Refueling Aircraft," Sep. 21, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan for KC-46A aerial refueling aircraft and…
287,The Government of Egypt , 8 Sentinel AN/MPQ-64F1 Radars and Related Equipment and Support," Sep. 19, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Egypt for Sentinel AN/MPQ-64F1 Radars and…
288,Qatar , Mk-V Fast Patrol Boat," Aug 23, 2016 ","The State Department has made a determination approving a possible Foreign Military Sale to Qatar for Mk-V Fast Patrol Boats, equipment,…"
289,Afghanistan , Individual and Crew Served Weapons," Aug 18, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Afghanistan for individual and crew…
290,NATO Support and Procurement Agency , Precision Guided Munitions," Aug 11, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the NATO Support and Procurement Agency for…
291,Kingdom of Saudi Arabia , M1A2S Saudi Abrams Main Battle Tanks and M88Al/A2 Heavy Equipment Recovery Combat Utility Lift Evacuation System (HERCULES) Armored Recovery Vehicles (ARV)," Aug 9, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for M1A2S Saudi…
292,Argentina , T-6C+ Texan Aircraft," Aug 3, 2016 ","The State Department has made a determination approving a possible Foreign Military Sale to Argentina for T-6C+ Texan aircraft, training,…"
293,United Arab Emirates ," Munitions, Sustainment, and Support",null,['Defense Security Cooperation Agency\nNEWS RELEASE\nOn the web: http://www.dsca.mil Media/Public Contact:\npm-cpa@state.gov\nTransmittal No. 16-27…']
294,Japan , SM-2 Block IIIB Standard Missiles," Jul 19, 2016 ","The State Department has made a determination approving a possible Foreign Military Sale to Japan for SM-2 Block IIIB Standard missiles,…"
295,Israel , Excess SH-60F Sea-Hawk Helicopter Equipment and Support," Jul 6, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Israel for Excess SH-60F Sea-Hawk Helicopter…
296,Republic of Korea,SM-2 Block IIIB Standard Missiles and Containers," Jul 5, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea for SM-2 Block IIIB…
297,Chile , Evolved Seasparrow Missiles (ESSMs)," Jul 5, 2016 ","The State Department has made a determination approving a possible Foreign Military Sale to Chile for Evolved Seasparrow Missiles (ESSMs),…"
298,The Government of Iraq,"AC-208 Sustainment, Logistics, and Spares Support"," Jun 14, 2016 ","The State Department has made a determination approving a possible Foreign Military Sale to the Government of Iraq for AC-208 sustainment,…"
299,Australia ,SM-2 Block IIIB STANDARD Missiles," May 31, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for SM-2 Block IIIB STANDARD missiles…
300,The Government of Kuwait,F/A-18 C/D Services and Support," May 26, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Kuwait for F/A-18 C/D services and support. The…
301,Qatar, Javelin Guided Missiles," May 26, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Qatar for Javelin Guided Missiles and…
302,Oman,Continuation of Logistics Support Services and Equipment," May 26, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Oman for continuation of logistics support…
303,Egypt , UGM-84L Harpoon Block II Encapsulated Missiles," May 13, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Egypt for UGM-84L Harpoon Block II Encapsulated…
304,United Arab Emirates,AGM-114 R/K Hellfire Category III Missiles," May 13, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates for AGM-114 R/K…
305,Tunisia,OH-58D Kiowa Warrior Aircraft Equipment and Support," May 3, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Tunisia for OH-58D Kiowa Warrior Aircraft …
306,The Government of France , Hellfire Missiles," May 2, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to France for Hellfire Missiles and associated…
307,Australia , AIM-120D Advanced Medium-Range Air-to-Air Missiles," Apr. 25, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for AIM-120D Advanced Medium-Range…
308,Qatar, RIM-116C and RIM-116C-2 Rolling Airframe Missiles," Apr. 22, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Qatar for RIM-116C and RIM-116C-2 Rolling…
309,France,-Guided Multiple Launch Rocket System (GMLRS) Unitary Rocket Pods and Related Support," Apr. 12, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to France for Guided Multiple Launch Rocket…
310,Australia , GBU-39 (Small Diameter Bomb Increment I)," Apr. 6, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for GBU-39 (Small Diameter Bomb…
311,United Kingdom , P-8A Aircraft and Associated Support," Mar. 25, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom for P-8A Aircraft and…
312,Indonesia , AIM-120C-7 Advanced Medium-Range Air-to-Air Missiles (AMRAAMs)," Mar. 10, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Indonesia for AIM-120C-7 Advanced Medium-Range…
313,Jordan,"Repair and Return of F-16 Engines, Sustainment and Support"," Feb. 25, 2016 ","The State Department has made a determination approving a possible Foreign Military Sale to Jordan for repair and return of F-16 Engines,…"
314,United Arab Emirates,AN/AAQ-24(V)N Large Aircraft Infrared Countermeasures (LAIRCM)," Feb. 24, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates for AN/AAQ-24(V)N…
315,Government of Iraq,"KA-350 Sustainment, Logistics, and Spares Support"," Feb. 24, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Iraq for KA-350 sustainment…
316,Kingdom of Saudi Arabia , Support Services," Feb. 18, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for support…
317,The Government of Pakistan , F-16 Block 52 Aircraft," Feb. 12, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Pakistan for F-16 Block 52…
318,Kingdom of Saudi Arabia,MK 15 Phalanx Close-In Weapons System (CIWS) Block 1B Baseline 2 Kits," Feb. 11, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for MK 15 Phalanx…
319,Iraq ," F-16 Weapons, Munitions, Equipment, and Logistics Support"," Jan. 20, 2016 ","The State Department has made a determination approving a possible Foreign Military Sale to Iraq for F-16 weapons, munitions, equipment,…"
320,The Government of Iraq , Hellfire Missiles and Captive Air Training Missiles," Jan. 7, 2016 ",The State Department has made a determination approving a possible Foreign Military Sale to Iraq of Hellfire missiles and Captive Air…
321,Government of Oman,TOW 2B Missiles," Jan. 7, 2016 ","The State Department has made a determination approving a possible Foreign Military Sale to Oman of TOW 2B missiles, related equipment and…"
322,Australia , CH-47F - Aircraft," Dec. 21, 2015 ","The State Department has made a determination approving a possible Foreign Military Sale to Australia for CH-47F aircraft, related…"
323,Lithuania,Javelin Missiles and Command Launch Units," Dec. 18, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Lithuania for Javelin Missiles and Command…
324,Taipei Economic and Cultural Representative Office (TECRO) in the United States , Block I-92F MANPAD Stinger Missiles and Related Equipment and Support," Dec 16, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and Cultural Representative…
325,Taipei Economic and Cultural Representative Office in the United States ," TOW 2B Aero Radio Frequency (RF) Missile (BGM-71F-Series), Support and Training"," 16, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and Cultural…
326,Taipei Economic and Cultural Representative Office in the United States ," MK 15 Phalanx Block 1B Baseline 2 CIWS Guns, Upgrade Kits, Ammunition, and Support"," Dec. 16, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and Cultural…
327,Taipei Economic and Cultural Representative Office in the United States , Oliver Hazard Perry Class Frigates," Dec. 16, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and Cultural…
328,Taipei Economic and Cultural Representative Office in the United States , Follow-On Support," Dec. 16, 2015 ","['WASHINGTON, Dec. 16, 2015 -The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and Cultural Representative…']"
329,Taipei Economic and Cultural Representative Office in the United States Taiwan Advanced Tactical Data Link System (TATDLS) and Link,11 Integration," Dec. 16, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and Cultural…
330,Taipei Economic and Cultural Representative Office in the United States , Assault Amphibious Vehicles (AAVs)," Dec. 16, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and Cultural…
331,Taipei Economic and Cultural Representative Office in the United States , Javelin Missile," Dec. 16, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and Cultural…
332,Turkey , Joint Direct Attack Munitions (Corrected*)," 7, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Turkey for Joint Direct Attack Munitions and…
333,Government of Japan,RQ-4 Block 30 (I) Global Hawk Remotely Piloted Aircraft," Nov 20, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Japan for RQ-4 Block 30 (I)…
334,Argentina , Bell 412EP Helicopters," Nov 18, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Argentina for Bell 412EP helicopters and…
335,Republic of Korea , UGM-84L Harpoon Block II Missiles," Nov 18, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea for UGM-84L Harpoon Block…
336,Morocco ," TOW 2A, Radio Frequency (RF) Missiles (BGM-71E-4B-RF), M220A2 TOW Launchers, Support and Training"," Nov 18, 2015 ","The State Department has made a determination approving a possible Foreign Military Sale to Morocco for TOW 2A, Radio Frequency (RF)…"
337,The Government of Saudi Arabia , Air-to-Ground Munitions," Nov 16, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Saudi Arabia for air-to-…
338,France ,C-130J Aircraft," Nov 10, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to France for C-130J aircraft and associated…
339,Finland , Guided Multiple Launch Rocket System (GMLRS) M31A1 Unitary and GMLRS M30A1 Alternative Warhead Rockets in Pods," Nov 10, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Finland for Guided Multiple Launch Rocket…
340,United Kingdom , Hellfire Missiles," Nov 10, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom for Hellfire missiles and…
341,The Government of Kuwait , Sniper Advanced Targeting Pods (ATP)," Nov 5, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Kuwait for Sniper Advanced…
342,United Arab Emirates (UAE) ," Joint Direct Attack Munitions (JDAM), Sustainment and Support"," Nov 5, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates (UAE) for Joint Direct…
343,Lithuania ," M 1126 Stryker Infantry Carrier Vehicles (ICV) with 30mm cannon and M2 Machine Guns, and Related Support Equipment"," Nov 5, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Lithuania for Stryker Infantry…
344,Italy , Weaponization of MQ-9s," Nov. 4, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Italy for weaponization of MQ-9s and associated…
345,The Government of France , Hellfire Missiles," Nov 4, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of France for Hellfire Missiles…
346,Government of Thailand , Evolved Seasparrow Missiles (ESSM)," Oct. 29, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Thailand of Evolved Seasparrow Missiles (ESSM…
347,Kingdom of Saudi Arabia , Multi-Mission Surface Combatant (MMSC) Ships ," Oct. 20, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for Multi-Mission…
348,Kingdom of Saudi Arabia , UH-60M Black Hawk Utility Helicopters," Oct. 14, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for UH-60M Black…
349,Spain , MQ-9 Block 5 aircraft," Oct. 6, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Spain for MQ-9 Block 5 aircraft and associated…
350,United Kingdom , AH-64E APACHE GUARDIAN Attack Helicopters ," Aug 27, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom for AH-64E APACHE GUARDIAN…
351,Bahrain , F-16 Follow-On Support," Aug 7, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Bahrain for F-16 follow-on support and…
352,Japan ," DDG (guided missile destroyer) 7 and 8 AEGIS Combat System (ACS), Underwater Weapon System (UWS), and Cooperative Engagement Capability (CEC)"," Aug 7, 2015 ","The State Department has made a determination approving a possible Foreign Military Sale to Japan for DDG 7 and 8 AEGIS Combat System,…"
353,Kingdom of Saudi Arabia (KSA) , Ammunition for the Royal Saudi Land Forces (RSLF)," Jul 29, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for ammunition for…
354,United Arab Emirates (UAE) , AN/AAQ 24(V) Directional Infrared Countermeasures (DIRCM) Systems," Jul 29, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates for AN/AAQ 24(V)…
355,Kingdom of Saudi Arabia (KSA) , Patriot Advanced Capability-3 (PAC-3) Missiles and Support Equipment," Jul 29, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for Patriot…
356,Lebanon , TOW 2A Missiles," Jul 22, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Lebanon for TOW 2A Missiles and associated…
357,Republic of Korea (ROK) , KF-16 Upgrade Program," Jul 15, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea for the KF-16 Upgrade…
358,Egypt , Border Security Mobile Surveillance Sensor Security System (Corrected*)," Jul 8, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Egypt for Border Security Mobile Surveillance…
359,Australia , AGM-88B High Speed Anti-Radiation Missiles," Jun 22, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for AGM-88B High Speed Anti-Radiation…
360,Lebanon , A-29 Super Tucano Aircraft," Jun 9, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Lebanon for A-29 Super Tucano Aircraft and…
361,Republic of Korea , Aegis Combat System," Jun 9, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea for Aegis Combat Systems…
362,Lebanon , AGM-114 Hellfire II Missiles," Jun 4, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Lebanon for AGM-114 Hellfire II missiles and…
363,Japan , E-2D Advanced Hawkeye Airborne Early Warning and Control Aircraft," Jun 1, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan for E-2D Advanced Hawkeye Airborne Early…
364,United Arab Emirates (UAE) , Guided Bomb Units (GBU-31s and GBU-12s)," May 29, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates (UAE) for Guided Bomb…
365,Turkey , MK 15 Phalanx CIWS Upgrades," May 20, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Turkey for MK 15 Phalanx CIWS Upgrades and…
366,Kingdom of Saudi Arabia , MH-60R Multi-Mission Helicopters," May 20, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for MH-60R Multi-…
367,Israel , Joint Direct Attack Munition Tail Kits and Munitions," May 19, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Israel for Joint Direct Attack Munition Tail…
